date,PM2.5,PM10,NO2,SO2,CO,O3
2019-01-01 00:00:00,91.1,144.5,48.6,20.4,30.2,42.9
2019-01-01 01:00:00,81.5,129.1,56.8,20.2,26.7,42.3
2019-01-01 02:00:00,93.3,148.7,34.6,30.1,30.2,43.8
2019-01-01 03:00:00,106.5,171.5,42.8,16.4,25.3,39.3
2019-01-01 04:00:00,80.2,138.4,62.5,17.5,26.7,41.7
2019-01-01 05:00:00,80.7,137.7,45.4,15.8,36.1,46.5
2019-01-01 06:00:00,110.0,184.3,34.4,12.7,27.8,41.9
2019-01-01 07:00:00,103.3,186.3,64.9,17.3,40.4,42.8
2019-01-01 08:00:00,92.6,123.5,74.6,15.8,54.4,40.2
2019-01-01 09:00:00,111.8,173.7,82.3,19.1,45.4,45.9
2019-01-01 10:00:00,92.7,148.2,75.6,24.9,52.1,53.9
2019-01-01 11:00:00,84.8,130.1,73.7,17.2,34.4,61.6
2019-01-01 12:00:00,90.0,135.6,49.6,24.8,32.1,82.5
2019-01-01 13:00:00,55.6,79.4,51.4,25.2,37.5,97.4
2019-01-01 14:00:00,58.4,91.6,48.7,20.1,25.0,97.5
2019-01-01 15:00:00,77.9,131.6,60.6,23.1,49.3,75.1
2019-01-01 16:00:00,76.6,128.6,69.7,24.7,38.6,57.4
2019-01-01 17:00:00,104.3,159.1,78.2,18.8,60.1,35.4
2019-01-01 18:00:00,90.0,146.0,98.4,19.5,61.0,30.2
2019-01-01 19:00:00,78.4,136.2,79.6,22.4,48.9,38.0
2019-01-01 20:00:00,113.8,164.8,73.5,22.9,30.9,28.3
2019-01-01 21:00:00,82.9,131.4,48.1,20.3,37.8,55.4
2019-01-01 22:00:00,85.2,138.8,46.4,24.3,25.2,53.7
2019-01-01 23:00:00,62.3,99.8,67.1,19.7,31.0,47.1
2019-01-02 00:00:00,75.0,126.3,40.2,23.2,30.6,47.1
2019-01-02 01:00:00,84.8,123.0,57.1,22.4,30.2,56.4
2019-01-02 02:00:00,65.9,98.7,61.3,17.4,29.9,52.5
2019-01-02 03:00:00,88.8,148.1,60.4,27.3,27.3,44.7
2019-01-02 04:00:00,74.2,106.1,38.4,25.2,26.4,45.4
2019-01-02 05:00:00,79.3,133.3,49.0,15.3,28.1,49.7
2019-01-02 06:00:00,76.8,126.3,60.0,23.8,39.9,47.3
2019-01-02 07:00:00,119.1,199.4,69.3,18.9,30.9,41.2
2019-01-02 08:00:00,98.9,153.6,74.9,24.4,42.8,49.9
2019-01-02 09:00:00,87.3,144.1,75.4,25.9,62.7,31.8
2019-01-02 10:00:00,111.5,165.3,72.8,23.2,45.5,53.0
2019-01-02 11:00:00,73.0,113.8,58.4,26.4,43.1,75.9
2019-01-02 12:00:00,89.0,142.7,45.1,23.3,28.7,75.6
2019-01-02 13:00:00,54.4,82.1,49.6,18.4,23.8,90.7
2019-01-02 14:00:00,63.8,103.5,66.8,10.0,33.9,86.0
2019-01-02 15:00:00,88.8,131.9,52.8,14.7,31.2,68.4
2019-01-02 16:00:00,102.4,166.6,51.2,17.5,45.5,68.6
2019-01-02 17:00:00,101.7,180.4,72.2,22.9,43.3,41.5
2019-01-02 18:00:00,101.4,149.5,94.8,14.1,50.7,39.0
2019-01-02 19:00:00,94.6,151.2,62.3,13.6,55.6,47.0
2019-01-02 20:00:00,69.2,99.5,63.3,18.3,43.6,37.5
2019-01-02 21:00:00,75.0,113.8,61.0,18.9,33.2,43.1
2019-01-02 22:00:00,76.8,128.2,42.7,20.9,33.1,34.7
2019-01-02 23:00:00,99.1,154.2,52.6,26.7,35.9,33.9
2019-01-03 00:00:00,87.8,147.0,43.5,17.8,29.6,31.7
2019-01-03 01:00:00,56.2,91.9,41.0,19.5,20.7,47.1
2019-01-03 02:00:00,87.5,139.5,55.8,24.7,20.6,45.6
2019-01-03 03:00:00,76.9,115.1,65.4,15.7,30.8,43.2
2019-01-03 04:00:00,72.6,121.1,47.9,26.1,29.3,41.1
2019-01-03 05:00:00,92.4,150.7,56.4,15.3,37.2,33.9
2019-01-03 06:00:00,100.8,145.9,58.8,18.2,41.4,37.9
2019-01-03 07:00:00,104.8,157.6,64.6,16.7,42.5,30.5
2019-01-03 08:00:00,86.1,113.9,69.4,28.1,50.7,44.3
2019-01-03 09:00:00,98.0,143.4,72.7,20.9,60.1,35.7
2019-01-03 10:00:00,103.6,162.6,68.5,19.4,35.3,59.2
2019-01-03 11:00:00,105.5,157.7,61.8,14.4,30.0,73.3
2019-01-03 12:00:00,78.2,118.6,51.6,26.1,26.7,91.2
2019-01-03 13:00:00,80.5,140.0,42.6,24.4,23.5,93.1
2019-01-03 14:00:00,66.7,113.6,50.2,16.9,30.4,91.2
2019-01-03 15:00:00,67.4,103.2,49.8,20.5,34.9,67.9
2019-01-03 16:00:00,103.1,173.1,67.6,22.3,40.4,49.8
2019-01-03 17:00:00,119.0,204.9,71.7,22.0,49.7,42.4
2019-01-03 18:00:00,101.6,168.8,87.6,17.9,52.4,37.6
2019-01-03 19:00:00,113.7,185.4,76.7,27.9,45.9,36.6
2019-01-03 20:00:00,96.3,164.7,59.2,19.3,35.7,35.1
2019-01-03 21:00:00,75.7,126.9,53.6,19.4,24.8,42.6
2019-01-03 22:00:00,88.6,131.1,50.6,25.2,30.7,50.5
