dataset,seed,eval_horizon,H_norm,N_eff,N_eff_ratio,max_attention_mean,var_attention,std_attention,uniform_baseline,pearson_corr,pearson_pval,spearman_corr,spearman_pval
ETTh1,42,24,0.97115,87.29,0.9093,0.02541,5.32e-05,0.00412,0.01042,-0.1069,0.0,-0.0111,0.519819
ETTh1,42,48,0.97214,87.51,0.9116,0.02504,5.06e-05,0.00404,0.01042,-0.1293,0.0,-0.0351,0.042618
ETTh1,42,96,0.97314,87.72,0.9137,0.02467,4.8e-05,0.00398,0.01042,-0.1531,0.0,-0.1304,0.0
ETTh1,42,192,0.97335,87.72,0.9137,0.02429,4.63e-05,0.00394,0.01042,-0.2558,0.0,-0.1805,0.0
ETTh1,42,336,0.97357,87.74,0.914,0.02419,4.54e-05,0.00393,0.01042,-0.303,0.0,-0.2746,0.0
ETTh1,42,720,0.97348,87.71,0.9136,0.02426,4.57e-05,0.00395,0.01042,-0.2751,0.0,-0.2476,0.0
ETTh1,43,24,0.97657,88.44,0.9213,0.02258,3.78e-05,0.00369,0.01042,-0.1928,0.0,-0.0888,0.0
ETTh1,43,48,0.97719,88.57,0.9226,0.02242,3.63e-05,0.00365,0.01042,-0.1881,0.0,-0.139,0.0
ETTh1,43,96,0.978,88.74,0.9244,0.02215,3.43e-05,0.0036,0.01042,-0.1768,0.0,-0.2099,0.0
ETTh1,43,192,0.97805,88.71,0.9241,0.02184,3.32e-05,0.00358,0.01042,-0.2726,0.0,-0.1893,0.0
ETTh1,43,336,0.97837,88.77,0.9247,0.02169,3.22e-05,0.00356,0.01042,-0.279,0.0,-0.2392,0.0
ETTh1,43,720,0.9779,88.63,0.9233,0.02192,3.31e-05,0.00361,0.01042,-0.2087,0.0,-0.1455,0.0
ETTh1,44,24,0.95952,84.36,0.8787,0.03076,7.93e-05,0.00514,0.01042,-0.2042,0.0,-0.0719,3e-05
ETTh1,44,48,0.96056,84.56,0.8808,0.03043,7.66e-05,0.00507,0.01042,-0.2225,0.0,-0.1355,0.0
ETTh1,44,96,0.96113,84.66,0.8818,0.03034,7.51e-05,0.00505,0.01042,-0.2648,0.0,-0.2823,0.0
ETTh1,44,192,0.96153,84.68,0.8821,0.0298,7.21e-05,0.00499,0.01042,-0.3519,0.0,-0.2592,0.0
ETTh1,44,336,0.96171,84.67,0.882,0.0297,7.09e-05,0.00498,0.01042,-0.3469,0.0,-0.3058,0.0
ETTh1,44,720,0.96108,84.51,0.8804,0.02999,7.21e-05,0.00504,0.01042,-0.2688,0.0,-0.213,0.0
exchange,42,24,0.82891,63.48,0.6612,0.12624,0.0007578,0.01659,0.01042,-0.1049,8.5e-05,-0.1275,2e-06
exchange,42,48,0.82914,63.45,0.6609,0.12581,0.0007527,0.01656,0.01042,-0.0866,0.001308,-0.1467,0.0
exchange,42,96,0.82818,63.34,0.6598,0.12689,0.000759,0.01666,0.01042,-0.0877,0.001378,-0.188,0.0
exchange,42,192,0.82806,63.16,0.6579,0.12571,0.0007459,0.01663,0.01042,-0.0776,0.006411,-0.1582,0.0
exchange,42,336,0.83615,64.11,0.6678,0.12001,0.0006899,0.01592,0.01042,-0.2078,0.0,-0.2727,0.0
exchange,42,720,0.83528,64.12,0.6679,0.12073,0.0006977,0.01597,0.01042,-0.1412,0.000171,-0.1558,3.3e-05
exchange,43,24,0.96066,84.52,0.8804,0.03445,8.84e-05,0.00527,0.01042,0.0414,0.121697,0.0804,0.002595
exchange,43,48,0.9614,84.67,0.882,0.03405,8.58e-05,0.00521,0.01042,0.0052,0.846431,0.0197,0.464987
exchange,43,96,0.96184,84.68,0.8821,0.03369,8.27e-05,0.00519,0.01042,0.0142,0.604391,-0.0348,0.204767
exchange,43,192,0.96323,84.92,0.8846,0.03286,7.7e-05,0.00508,0.01042,0.1135,6.6e-05,0.0552,0.052582
exchange,43,336,0.96579,85.53,0.8909,0.03153,6.91e-05,0.00485,0.01042,0.0512,0.091305,-0.0131,0.665743
exchange,43,720,0.9657,85.53,0.8909,0.03175,7.08e-05,0.00487,0.01042,-0.0082,0.828852,-0.0415,0.271573
exchange,44,24,0.97605,87.9,0.9156,0.0254,3.85e-05,0.00395,0.01042,0.3009,0.0,0.3082,0.0
exchange,44,48,0.97628,87.96,0.9163,0.02533,3.81e-05,0.00393,0.01042,0.277,0.0,0.3067,0.0
exchange,44,96,0.9765,87.97,0.9164,0.0252,3.71e-05,0.00393,0.01042,0.2328,0.0,0.233,0.0
exchange,44,192,0.97753,88.25,0.9192,0.02473,3.49e-05,0.00384,0.01042,0.2757,0.0,0.2071,0.0
exchange,44,336,0.97907,88.7,0.924,0.02401,3.18e-05,0.00369,0.01042,0.1737,0.0,0.0849,0.005056
exchange,44,720,0.97877,88.65,0.9234,0.02409,3.26e-05,0.00371,0.01042,0.1725,4e-06,0.0994,0.008331
