dataset,seed,eval_horizon,mse_learned,mae_learned,mse_shuffled,mae_shuffled,pct_change_mse,alignment_matters
ETTh1,42,24,0.82704,0.62761,0.89945,0.65389,8.76,True
ETTh1,42,48,0.84399,0.63965,0.92996,0.66829,10.19,True
ETTh1,42,96,0.8662,0.65725,0.93064,0.67632,7.44,True
ETTh1,42,192,0.90938,0.67879,0.99854,0.70511,9.8,True
ETTh1,42,336,0.93643,0.6935,1.01949,0.71801,8.87,True
ETTh1,42,720,1.07413,0.76008,1.14262,0.77998,6.38,True
ETTh1,43,24,0.82129,0.62638,0.88216,0.64551,7.41,True
ETTh1,43,48,0.84072,0.63891,0.88462,0.65015,5.22,True
ETTh1,43,96,0.86565,0.6553,0.92921,0.673,7.34,True
ETTh1,43,192,0.90869,0.67708,0.99451,0.7002,9.44,True
ETTh1,43,336,0.93321,0.69048,0.9927,0.70633,6.38,True
ETTh1,43,720,1.07194,0.75755,1.14796,0.77744,7.09,True
ETTh1,44,24,0.82894,0.62079,0.90749,0.65427,9.48,True
ETTh1,44,48,0.85293,0.6344,0.92356,0.66363,8.28,True
ETTh1,44,96,0.8875,0.65552,0.93908,0.6764,5.81,True
ETTh1,44,192,0.93385,0.67804,0.9842,0.69852,5.39,True
ETTh1,44,336,0.95959,0.69269,0.9963,0.70701,3.83,True
ETTh1,44,720,1.10388,0.76173,1.13865,0.77462,3.15,True
exchange,42,24,0.1056,0.23458,0.10641,0.23573,0.77,True
exchange,42,48,0.12917,0.26233,0.12965,0.2633,0.38,True
exchange,42,96,0.18266,0.31411,0.18373,0.31465,0.58,True
exchange,42,192,0.29397,0.4034,0.29622,0.40517,0.76,True
exchange,42,336,0.48144,0.52083,0.48537,0.52135,0.82,True
exchange,42,720,1.21661,0.85178,1.22462,0.85741,0.66,True
exchange,43,24,0.10578,0.23726,0.10304,0.23471,-2.59,False
exchange,43,48,0.13018,0.26434,0.12774,0.2621,-1.87,False
exchange,43,96,0.18141,0.31316,0.17807,0.31103,-1.85,False
exchange,43,192,0.2954,0.4054,0.29258,0.40413,-0.96,False
exchange,43,336,0.48856,0.52345,0.48612,0.52275,-0.5,False
exchange,43,720,1.23952,0.86147,1.23262,0.85991,-0.56,False
exchange,44,24,0.10432,0.2364,0.10521,0.23713,0.85,True
exchange,44,48,0.12915,0.26392,0.12957,0.26436,0.33,True
exchange,44,96,0.1809,0.31247,0.18121,0.31316,0.17,True
exchange,44,192,0.29648,0.40518,0.29662,0.4061,0.05,True
exchange,44,336,0.49312,0.52622,0.49139,0.52561,-0.35,False
exchange,44,720,1.2459,0.86387,1.24188,0.86316,-0.32,False
