dataset,seed,lookback,training_horizon,selected_tau,test_horizon,mse,mae,baseline_tau1_mse,baseline_tau1_mae,rel_improvement_pct,param_count
ETTh2,42,96,48,1.0,24,0.22631,0.33026,0.22631,0.33026,0.0,44021
ETTh2,42,96,48,1.0,48,0.24759,0.34469,0.24759,0.34469,0.0,44021
ETTh2,42,96,48,1.0,96,0.27934,0.3638,0.27934,0.3638,0.0,44021
ETTh2,42,96,48,1.0,192,0.31117,0.38352,0.31117,0.38352,0.0,44021
ETTh2,42,96,48,1.0,336,0.34221,0.39963,0.34221,0.39963,0.0,44021
ETTh2,42,96,48,1.0,720,0.41072,0.43732,0.41072,0.43732,0.0,44021
ETTh2,43,96,48,2.0,24,0.22483,0.3299,0.22753,0.33108,1.19,44021
ETTh2,43,96,48,2.0,48,0.24556,0.34344,0.24864,0.34515,1.24,44021
ETTh2,43,96,48,2.0,96,0.27717,0.3627,0.28099,0.36483,1.36,44021
ETTh2,43,96,48,2.0,192,0.3104,0.38353,0.31455,0.38565,1.32,44021
ETTh2,43,96,48,2.0,336,0.34352,0.40087,0.34768,0.40287,1.2,44021
ETTh2,43,96,48,2.0,720,0.41429,0.44005,0.41797,0.4421,0.88,44021
ETTh2,44,96,48,4.0,24,0.2241,0.32805,0.22831,0.32966,1.84,44021
ETTh2,44,96,48,4.0,48,0.24323,0.34095,0.24789,0.34347,1.88,44021
ETTh2,44,96,48,4.0,96,0.27262,0.35946,0.27807,0.36236,1.96,44021
ETTh2,44,96,48,4.0,192,0.30272,0.37904,0.30823,0.38168,1.79,44021
ETTh2,44,96,48,4.0,336,0.33143,0.39431,0.33657,0.39665,1.53,44021
ETTh2,44,96,48,4.0,720,0.3964,0.43014,0.40151,0.43238,1.27,44021
