dataset,seed,lookback,training_horizon,selected_tau,test_horizon,mse,mae,baseline_tau1_mse,baseline_tau1_mae,rel_improvement_pct,param_count
ETTm1,42,96,48,0.5,24,0.61692,0.52549,0.64097,0.53466,3.75,44021
ETTm1,42,96,48,0.5,48,0.68877,0.55421,0.69993,0.56046,1.59,44021
ETTm1,42,96,48,0.5,96,0.91277,0.62677,0.91052,0.62984,-0.25,44021
ETTm1,42,96,48,0.5,192,0.96368,0.64993,0.956,0.65055,-0.8,44021
ETTm1,42,96,48,0.5,336,1.0015,0.67001,0.99041,0.66954,-1.12,44021
ETTm1,42,96,48,0.5,720,1.07874,0.70954,1.06397,0.70815,-1.39,44021
ETTm1,43,96,48,0.5,24,0.6544,0.53303,0.71752,0.55934,8.8,44021
ETTm1,43,96,48,0.5,48,0.71208,0.5592,0.76402,0.58098,6.8,44021
ETTm1,43,96,48,0.5,96,0.89196,0.61939,0.91839,0.63534,2.88,44021
ETTm1,43,96,48,0.5,192,0.93619,0.64066,0.96454,0.65605,2.94,44021
ETTm1,43,96,48,0.5,336,0.96827,0.65899,1.00214,0.67492,3.38,44021
ETTm1,43,96,48,0.5,720,1.03622,0.69613,1.06308,0.7103,2.53,44021
ETTm1,44,96,48,2.0,24,0.68565,0.5567,0.67558,0.55165,-1.49,44021
ETTm1,44,96,48,2.0,48,0.73041,0.57747,0.71265,0.56864,-2.49,44021
ETTm1,44,96,48,2.0,96,0.88696,0.63105,0.85956,0.61825,-3.19,44021
ETTm1,44,96,48,2.0,192,0.93345,0.65151,0.90337,0.63777,-3.33,44021
ETTm1,44,96,48,2.0,336,0.96882,0.67053,0.93381,0.6559,-3.75,44021
ETTm1,44,96,48,2.0,720,1.03692,0.70669,0.99733,0.69162,-3.97,44021
