dataset,seed,lookback,training_horizon,selected_tau,test_horizon,mse,mae,baseline_tau1_mse,baseline_tau1_mae,rel_improvement_pct,param_count
Exchange,42,96,48,0.5,24,0.11053,0.2372,0.1056,0.23458,-4.67,44021
Exchange,42,96,48,0.5,48,0.1352,0.2652,0.12917,0.26233,-4.67,44021
Exchange,42,96,48,0.5,96,0.1875,0.31508,0.18266,0.31411,-2.65,44021
Exchange,42,96,48,0.5,192,0.29409,0.40053,0.29397,0.4034,-0.04,44021
Exchange,42,96,48,0.5,336,0.4739,0.51469,0.48144,0.52083,1.57,44021
Exchange,42,96,48,0.5,720,1.19546,0.83944,1.21661,0.85178,1.74,44021
Exchange,43,96,48,4.0,24,0.10306,0.23518,0.10578,0.23726,2.57,44021
Exchange,43,96,48,4.0,48,0.1271,0.26221,0.13018,0.26434,2.37,44021
Exchange,43,96,48,4.0,96,0.17831,0.3114,0.18141,0.31316,1.71,44021
Exchange,43,96,48,4.0,192,0.2928,0.40425,0.2954,0.4054,0.88,44021
Exchange,43,96,48,4.0,336,0.48615,0.52258,0.48856,0.52345,0.49,44021
Exchange,43,96,48,4.0,720,1.2322,0.85944,1.23952,0.86147,0.59,44021
Exchange,44,96,48,4.0,24,0.10026,0.23298,0.10432,0.2364,3.89,44021
Exchange,44,96,48,4.0,48,0.12466,0.26045,0.12915,0.26392,3.48,44021
Exchange,44,96,48,4.0,96,0.1757,0.30922,0.1809,0.31247,2.87,44021
Exchange,44,96,48,4.0,192,0.29005,0.40151,0.29648,0.40518,2.17,44021
Exchange,44,96,48,4.0,336,0.48298,0.52041,0.49312,0.52622,2.06,44021
Exchange,44,96,48,4.0,720,1.22487,0.85592,1.2459,0.86387,1.69,44021
