dataset,seed,lookback,training_horizon,selected_tau,test_horizon,mse,mae,baseline_tau1_mse,baseline_tau1_mae,rel_improvement_pct,param_count
ETTh1,42,96,48,4.0,24,0.83038,0.62747,0.82704,0.62761,-0.4,44021
ETTh1,42,96,48,4.0,48,0.84873,0.63991,0.84399,0.63965,-0.56,44021
ETTh1,42,96,48,4.0,96,0.87283,0.6576,0.8662,0.65725,-0.77,44021
ETTh1,42,96,48,4.0,192,0.91069,0.67768,0.90938,0.67879,-0.14,44021
ETTh1,42,96,48,4.0,336,0.93421,0.69084,0.93643,0.6935,0.24,44021
ETTh1,42,96,48,4.0,720,1.06734,0.75622,1.07413,0.76008,0.63,44021
ETTh1,43,96,48,2.0,24,0.82413,0.63378,0.82129,0.62638,-0.35,44021
ETTh1,43,96,48,2.0,48,0.84387,0.64595,0.84072,0.63891,-0.37,44021
ETTh1,43,96,48,2.0,96,0.86867,0.6626,0.86565,0.6553,-0.35,44021
ETTh1,43,96,48,2.0,192,0.90842,0.68401,0.90869,0.67708,0.03,44021
ETTh1,43,96,48,2.0,336,0.92968,0.69649,0.93321,0.69048,0.38,44021
ETTh1,43,96,48,2.0,720,1.06333,0.76199,1.07194,0.75755,0.8,44021
ETTh1,44,96,48,4.0,24,0.81368,0.61747,0.82894,0.62079,1.84,44021
ETTh1,44,96,48,4.0,48,0.83869,0.63147,0.85293,0.6344,1.67,44021
ETTh1,44,96,48,4.0,96,0.87234,0.65222,0.8875,0.65552,1.71,44021
ETTh1,44,96,48,4.0,192,0.91185,0.67319,0.93385,0.67804,2.36,44021
ETTh1,44,96,48,4.0,336,0.93996,0.68795,0.95959,0.69269,2.05,44021
ETTh1,44,96,48,4.0,720,1.07621,0.7544,1.10388,0.76173,2.51,44021
Exchange,42,96,48,0.5,24,0.11053,0.2372,0.1056,0.23458,-4.67,44021
Exchange,42,96,48,0.5,48,0.1352,0.2652,0.12917,0.26233,-4.67,44021
Exchange,42,96,48,0.5,96,0.1875,0.31508,0.18266,0.31411,-2.65,44021
Exchange,42,96,48,0.5,192,0.29409,0.40053,0.29397,0.4034,-0.04,44021
Exchange,42,96,48,0.5,336,0.4739,0.51469,0.48144,0.52083,1.57,44021
Exchange,42,96,48,0.5,720,1.19546,0.83944,1.21661,0.85178,1.74,44021
Exchange,43,96,48,4.0,24,0.10306,0.23518,0.10578,0.23726,2.57,44021
Exchange,43,96,48,4.0,48,0.1271,0.26221,0.13018,0.26434,2.37,44021
Exchange,43,96,48,4.0,96,0.17831,0.3114,0.18141,0.31316,1.71,44021
Exchange,43,96,48,4.0,192,0.2928,0.40425,0.2954,0.4054,0.88,44021
Exchange,43,96,48,4.0,336,0.48615,0.52258,0.48856,0.52345,0.49,44021
Exchange,43,96,48,4.0,720,1.2322,0.85944,1.23952,0.86147,0.59,44021
Exchange,44,96,48,4.0,24,0.10026,0.23298,0.10432,0.2364,3.89,44021
Exchange,44,96,48,4.0,48,0.12466,0.26045,0.12915,0.26392,3.48,44021
Exchange,44,96,48,4.0,96,0.1757,0.30922,0.1809,0.31247,2.87,44021
Exchange,44,96,48,4.0,192,0.29005,0.40151,0.29648,0.40518,2.17,44021
Exchange,44,96,48,4.0,336,0.48298,0.52041,0.49312,0.52622,2.06,44021
Exchange,44,96,48,4.0,720,1.22487,0.85592,1.2459,0.86387,1.69,44021
ETTh2,42,96,48,1.0,24,0.22631,0.33026,0.22631,0.33026,0.0,44021
ETTh2,42,96,48,1.0,48,0.24759,0.34469,0.24759,0.34469,0.0,44021
ETTh2,42,96,48,1.0,96,0.27934,0.3638,0.27934,0.3638,0.0,44021
ETTh2,42,96,48,1.0,192,0.31117,0.38352,0.31117,0.38352,0.0,44021
ETTh2,42,96,48,1.0,336,0.34221,0.39963,0.34221,0.39963,0.0,44021
ETTh2,42,96,48,1.0,720,0.41072,0.43732,0.41072,0.43732,0.0,44021
ETTh2,43,96,48,2.0,24,0.22483,0.3299,0.22753,0.33108,1.19,44021
ETTh2,43,96,48,2.0,48,0.24556,0.34344,0.24864,0.34515,1.24,44021
ETTh2,43,96,48,2.0,96,0.27717,0.3627,0.28099,0.36483,1.36,44021
ETTh2,43,96,48,2.0,192,0.3104,0.38353,0.31455,0.38565,1.32,44021
ETTh2,43,96,48,2.0,336,0.34352,0.40087,0.34768,0.40287,1.2,44021
ETTh2,43,96,48,2.0,720,0.41429,0.44005,0.41797,0.4421,0.88,44021
ETTh2,44,96,48,4.0,24,0.2241,0.32805,0.22831,0.32966,1.84,44021
ETTh2,44,96,48,4.0,48,0.24323,0.34095,0.24789,0.34347,1.88,44021
ETTh2,44,96,48,4.0,96,0.27262,0.35946,0.27807,0.36236,1.96,44021
ETTh2,44,96,48,4.0,192,0.30272,0.37904,0.30823,0.38168,1.79,44021
ETTh2,44,96,48,4.0,336,0.33143,0.39431,0.33657,0.39665,1.53,44021
ETTh2,44,96,48,4.0,720,0.3964,0.43014,0.40151,0.43238,1.27,44021
ETTm1,42,96,48,0.5,24,0.61692,0.52549,0.64097,0.53466,3.75,44021
ETTm1,42,96,48,0.5,48,0.68877,0.55421,0.69993,0.56046,1.59,44021
ETTm1,42,96,48,0.5,96,0.91277,0.62677,0.91052,0.62984,-0.25,44021
ETTm1,42,96,48,0.5,192,0.96368,0.64993,0.956,0.65055,-0.8,44021
ETTm1,42,96,48,0.5,336,1.0015,0.67001,0.99041,0.66954,-1.12,44021
ETTm1,42,96,48,0.5,720,1.07874,0.70954,1.06397,0.70815,-1.39,44021
ETTm1,43,96,48,0.5,24,0.6544,0.53303,0.71752,0.55934,8.8,44021
ETTm1,43,96,48,0.5,48,0.71208,0.5592,0.76402,0.58098,6.8,44021
ETTm1,43,96,48,0.5,96,0.89196,0.61939,0.91839,0.63534,2.88,44021
ETTm1,43,96,48,0.5,192,0.93619,0.64066,0.96454,0.65605,2.94,44021
ETTm1,43,96,48,0.5,336,0.96827,0.65899,1.00214,0.67492,3.38,44021
ETTm1,43,96,48,0.5,720,1.03622,0.69613,1.06308,0.7103,2.53,44021
ETTm1,44,96,48,2.0,24,0.68565,0.5567,0.67558,0.55165,-1.49,44021
ETTm1,44,96,48,2.0,48,0.73041,0.57747,0.71265,0.56864,-2.49,44021
ETTm1,44,96,48,2.0,96,0.88696,0.63105,0.85956,0.61825,-3.19,44021
ETTm1,44,96,48,2.0,192,0.93345,0.65151,0.90337,0.63777,-3.33,44021
ETTm1,44,96,48,2.0,336,0.96882,0.67053,0.93381,0.6559,-3.75,44021
ETTm1,44,96,48,2.0,720,1.03692,0.70669,0.99733,0.69162,-3.97,44021
