dataset,mode,horizon,parameter_count,baseline_parameter_count,difference,status
ETTh1,fixed,24,44021,44021,0,PASSED
ETTh1,fixed,48,44021,44021,0,PASSED
ETTh1,fixed,96,44021,44021,0,PASSED
ETTh1,fixed,192,44021,44021,0,PASSED
ETTh1,fixed,336,44021,44021,0,PASSED
ETTh1,fixed,720,44021,44021,0,PASSED
ETTh1,learned_global,24,44022,44022,0,PASSED
ETTh1,learned_global,48,44022,44022,0,PASSED
ETTh1,learned_global,96,44022,44022,0,PASSED
ETTh1,learned_global,192,44022,44022,0,PASSED
ETTh1,learned_global,336,44022,44022,0,PASSED
ETTh1,learned_global,720,44022,44022,0,PASSED
ETTh1,temporal_context,24,44326,44326,0,PASSED
ETTh1,temporal_context,48,44326,44326,0,PASSED
ETTh1,temporal_context,96,44326,44326,0,PASSED
ETTh1,temporal_context,192,44326,44326,0,PASSED
ETTh1,temporal_context,336,44326,44326,0,PASSED
ETTh1,temporal_context,720,44326,44326,0,PASSED
ETTh1,query_conditioned,24,44326,44326,0,PASSED
ETTh1,query_conditioned,48,44326,44326,0,PASSED
ETTh1,query_conditioned,96,44326,44326,0,PASSED
ETTh1,query_conditioned,192,44326,44326,0,PASSED
ETTh1,query_conditioned,336,44326,44326,0,PASSED
ETTh1,query_conditioned,720,44326,44326,0,PASSED
ETTh2,fixed,24,44021,44021,0,PASSED
ETTh2,fixed,48,44021,44021,0,PASSED
ETTh2,fixed,96,44021,44021,0,PASSED
ETTh2,fixed,192,44021,44021,0,PASSED
ETTh2,fixed,336,44021,44021,0,PASSED
ETTh2,fixed,720,44021,44021,0,PASSED
ETTh2,learned_global,24,44022,44022,0,PASSED
ETTh2,learned_global,48,44022,44022,0,PASSED
ETTh2,learned_global,96,44022,44022,0,PASSED
ETTh2,learned_global,192,44022,44022,0,PASSED
ETTh2,learned_global,336,44022,44022,0,PASSED
ETTh2,learned_global,720,44022,44022,0,PASSED
ETTh2,temporal_context,24,44326,44326,0,PASSED
ETTh2,temporal_context,48,44326,44326,0,PASSED
ETTh2,temporal_context,96,44326,44326,0,PASSED
ETTh2,temporal_context,192,44326,44326,0,PASSED
ETTh2,temporal_context,336,44326,44326,0,PASSED
ETTh2,temporal_context,720,44326,44326,0,PASSED
ETTh2,query_conditioned,24,44326,44326,0,PASSED
ETTh2,query_conditioned,48,44326,44326,0,PASSED
ETTh2,query_conditioned,96,44326,44326,0,PASSED
ETTh2,query_conditioned,192,44326,44326,0,PASSED
ETTh2,query_conditioned,336,44326,44326,0,PASSED
ETTh2,query_conditioned,720,44326,44326,0,PASSED
ETTm1,fixed,24,44021,44021,0,PASSED
ETTm1,fixed,48,44021,44021,0,PASSED
ETTm1,fixed,96,44021,44021,0,PASSED
ETTm1,fixed,192,44021,44021,0,PASSED
ETTm1,fixed,336,44021,44021,0,PASSED
ETTm1,fixed,720,44021,44021,0,PASSED
ETTm1,learned_global,24,44022,44022,0,PASSED
ETTm1,learned_global,48,44022,44022,0,PASSED
ETTm1,learned_global,96,44022,44022,0,PASSED
ETTm1,learned_global,192,44022,44022,0,PASSED
ETTm1,learned_global,336,44022,44022,0,PASSED
ETTm1,learned_global,720,44022,44022,0,PASSED
ETTm1,temporal_context,24,44326,44326,0,PASSED
ETTm1,temporal_context,48,44326,44326,0,PASSED
ETTm1,temporal_context,96,44326,44326,0,PASSED
ETTm1,temporal_context,192,44326,44326,0,PASSED
ETTm1,temporal_context,336,44326,44326,0,PASSED
ETTm1,temporal_context,720,44326,44326,0,PASSED
ETTm1,query_conditioned,24,44326,44326,0,PASSED
ETTm1,query_conditioned,48,44326,44326,0,PASSED
ETTm1,query_conditioned,96,44326,44326,0,PASSED
ETTm1,query_conditioned,192,44326,44326,0,PASSED
ETTm1,query_conditioned,336,44326,44326,0,PASSED
ETTm1,query_conditioned,720,44326,44326,0,PASSED
exchange,fixed,24,44408,44408,0,PASSED
exchange,fixed,48,44408,44408,0,PASSED
exchange,fixed,96,44408,44408,0,PASSED
exchange,fixed,192,44408,44408,0,PASSED
exchange,fixed,336,44408,44408,0,PASSED
exchange,fixed,720,44408,44408,0,PASSED
exchange,learned_global,24,44409,44409,0,PASSED
exchange,learned_global,48,44409,44409,0,PASSED
exchange,learned_global,96,44409,44409,0,PASSED
exchange,learned_global,192,44409,44409,0,PASSED
exchange,learned_global,336,44409,44409,0,PASSED
exchange,learned_global,720,44409,44409,0,PASSED
exchange,temporal_context,24,44713,44713,0,PASSED
exchange,temporal_context,48,44713,44713,0,PASSED
exchange,temporal_context,96,44713,44713,0,PASSED
exchange,temporal_context,192,44713,44713,0,PASSED
exchange,temporal_context,336,44713,44713,0,PASSED
exchange,temporal_context,720,44713,44713,0,PASSED
exchange,query_conditioned,24,44713,44713,0,PASSED
exchange,query_conditioned,48,44713,44713,0,PASSED
exchange,query_conditioned,96,44713,44713,0,PASSED
exchange,query_conditioned,192,44713,44713,0,PASSED
exchange,query_conditioned,336,44713,44713,0,PASSED
exchange,query_conditioned,720,44713,44713,0,PASSED
