dataset,eval_horizon,mode,n_seeds,mse_mean,mse_std,mse_se,paired_diff_mean,paired_diff_se,t_stat,p_value,cohen_d,relative_improvement_pct,ci95_diff_lower,ci95_diff_upper
ETTh1,24,fixed,3,0.83022,0.003735,0.002156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh1,24,learned_global,3,0.83138,0.005925,0.003421,-0.00116,0.001993,-0.5822,0.6193,-0.3361,-0.14,-0.009733,0.007413
ETTh1,24,temporal_context,3,0.85137,0.004225,0.002439,-0.02115,0.001698,-12.4584,0.0064,-7.1928,-2.55,-0.028454,-0.013846
ETTh1,24,query_conditioned,3,0.84435,0.009576,0.005529,-0.01413,0.003957,-3.5705,0.0703,-2.0614,-1.7,-0.031157,0.002897
ETTh1,48,fixed,3,0.851017,0.000741,0.000428,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh1,48,learned_global,3,0.850503,0.005651,0.003263,0.000513,0.003006,0.1708,0.8801,0.0986,0.06,-0.012419,0.013446
ETTh1,48,temporal_context,3,0.87017,0.005366,0.003098,-0.019153,0.002752,-6.9589,0.02,-4.0177,-2.25,-0.030996,-0.007311
ETTh1,48,query_conditioned,3,0.865307,0.006839,0.003948,-0.01429,0.003631,-3.936,0.0589,-2.2724,-1.68,-0.029911,0.001331
ETTh1,96,fixed,3,0.877873,0.003579,0.002066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh1,96,learned_global,3,0.876827,0.005793,0.003345,0.001047,0.00398,0.263,0.8172,0.1518,0.12,-0.016079,0.018172
ETTh1,96,temporal_context,3,0.895957,0.006945,0.00401,-0.018083,0.005594,-3.2325,0.0838,-1.8663,-2.06,-0.042153,0.005987
ETTh1,96,query_conditioned,3,0.89426,0.002673,0.001543,-0.016387,0.002648,-6.1891,0.0251,-3.5733,-1.87,-0.027779,-0.004995
ETTh1,192,fixed,3,0.924703,0.006475,0.003739,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh1,192,learned_global,3,0.922603,0.004964,0.002866,0.0021,0.004381,0.4794,0.679,0.2768,0.23,-0.016749,0.020949
ETTh1,192,temporal_context,3,0.940353,0.006823,0.003939,-0.01565,0.006315,-2.4784,0.1315,-1.4309,-1.69,-0.042819,0.011519
ETTh1,192,query_conditioned,3,0.940437,0.00316,0.001824,-0.015733,0.003957,-3.9756,0.0578,-2.2953,-1.7,-0.032761,0.001294
ETTh1,336,fixed,3,0.95266,0.007745,0.004472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh1,336,learned_global,3,0.952217,0.007568,0.00437,0.000443,0.003952,0.1122,0.9209,0.0648,0.05,-0.016559,0.017446
ETTh1,336,temporal_context,3,0.96838,0.010895,0.00629,-0.01572,0.007079,-2.2207,0.1565,-1.2821,-1.65,-0.046178,0.014738
ETTh1,336,query_conditioned,3,0.970747,0.005777,0.003335,-0.018087,0.004944,-3.6584,0.0673,-2.1122,-1.9,-0.039358,0.003185
ETTh1,720,fixed,3,1.094387,0.010276,0.005933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh1,720,learned_global,3,1.09163,0.007101,0.0041,0.002757,0.004857,0.5676,0.6275,0.3277,0.25,-0.018139,0.023653
ETTh1,720,temporal_context,3,1.110083,0.009532,0.005503,-0.015697,0.00812,-1.9332,0.1929,-1.1161,-1.43,-0.050632,0.019239
ETTh1,720,query_conditioned,3,1.111683,0.003396,0.001961,-0.017297,0.007165,-2.4141,0.1371,-1.3938,-1.58,-0.048124,0.013531
ETTh2,24,fixed,3,0.226793,0.000756,0.000437,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh2,24,learned_global,3,0.227003,0.000737,0.000425,-0.00021,2.1e-05,-10.0881,0.0097,-5.8244,-0.09,-0.0003,-0.00012
ETTh2,24,temporal_context,3,0.227987,0.005791,0.003343,-0.001193,0.003779,-0.3158,0.7821,-0.1823,-0.53,-0.017452,0.015065
ETTh2,24,query_conditioned,3,0.227977,0.005792,0.003344,-0.001183,0.00378,-0.3131,0.7839,-0.1808,-0.52,-0.017446,0.015079
ETTh2,48,fixed,3,0.24747,0.001595,0.000921,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh2,48,learned_global,3,0.247707,0.001568,0.000905,-0.000237,2e-05,-11.6723,0.0073,-6.739,-0.1,-0.000324,-0.000149
ETTh2,48,temporal_context,3,0.24817,0.0049,0.002829,-0.0007,0.003741,-0.1871,0.8688,-0.108,-0.28,-0.016795,0.015395
ETTh2,48,query_conditioned,3,0.24816,0.004902,0.00283,-0.00069,0.003742,-0.1844,0.8707,-0.1065,-0.28,-0.01679,0.01541
ETTh2,96,fixed,3,0.278403,0.002685,0.00155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh2,96,learned_global,3,0.278663,0.002662,0.001537,-0.00026,2.1e-05,-12.49,0.0063,-7.2111,-0.09,-0.00035,-0.00017
ETTh2,96,temporal_context,3,0.278557,0.004367,0.002521,-0.000153,0.004057,-0.0378,0.9733,-0.0218,-0.06,-0.017609,0.017302
ETTh2,96,query_conditioned,3,0.278543,0.004364,0.00252,-0.00014,0.004055,-0.0345,0.9756,-0.0199,-0.05,-0.017587,0.017307
ETTh2,192,fixed,3,0.310483,0.004289,0.002477,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh2,192,learned_global,3,0.31072,0.00425,0.002454,-0.000237,4.1e-05,-5.7779,0.0287,-3.3359,-0.08,-0.000413,-6e-05
ETTh2,192,temporal_context,3,0.307603,0.002691,0.001553,0.00288,0.003999,0.7201,0.5462,0.4157,0.93,-0.014328,0.020088
ETTh2,192,query_conditioned,3,0.307583,0.002686,0.001551,0.0029,0.003996,0.7257,0.5434,0.419,0.93,-0.014293,0.020093
ETTh2,336,fixed,3,0.342247,0.006517,0.003763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh2,336,learned_global,3,0.342443,0.00646,0.003729,-0.000197,6.7e-05,-2.9174,0.1002,-1.6843,-0.06,-0.000487,9.3e-05
ETTh2,336,temporal_context,3,0.334807,0.001894,0.001093,0.00744,0.00389,1.9127,0.1959,1.1043,2.17,-0.009296,0.024176
ETTh2,336,query_conditioned,3,0.334793,0.001905,0.0011,0.007453,0.003891,1.9158,0.1955,1.1061,2.18,-0.009286,0.024193
ETTh2,720,fixed,3,0.41038,0.009152,0.005284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh2,720,learned_global,3,0.410483,0.009046,0.005223,-0.000103,0.000107,-0.9673,0.4354,-0.5585,-0.03,-0.000563,0.000356
ETTh2,720,temporal_context,3,0.397583,0.004907,0.002833,0.012797,0.004444,2.8793,0.1024,1.6624,3.12,-0.006326,0.031919
ETTh2,720,query_conditioned,3,0.397567,0.004917,0.002839,0.012813,0.004441,2.8854,0.1021,1.6659,3.12,-0.006294,0.03192
ETTm1,24,fixed,3,0.6716,0.011217,0.006476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTm1,24,learned_global,3,0.66536,0.015131,0.008736,0.00624,0.00246,2.5366,0.1266,1.4645,0.93,-0.004345,0.016825
ETTm1,24,temporal_context,3,0.66341,0.007417,0.004282,0.00819,0.002761,2.9659,0.0974,1.7124,1.22,-0.003691,0.020071
ETTm1,24,query_conditioned,3,0.665593,0.029784,0.017196,0.006007,0.011952,0.5026,0.6651,0.2902,0.89,-0.045417,0.057431
