dataset,seed,eval_horizon,dlinear_mse,dlinear_mae,persistence_mse,persistence_mae
ETTh2,42,24,0.15379,0.25952,0.25283,0.34166
ETTh2,42,48,0.18424,0.28673,0.292,0.36944
ETTh2,42,96,0.2189,0.31707,0.33849,0.40023
ETTh2,42,192,0.26526,0.3613,0.39837,0.43406
ETTh2,42,336,0.30447,0.39472,0.44138,0.45478
ETTh2,42,720,0.41896,0.47009,0.52433,0.49425
ETTh2,43,24,0.15552,0.26103,0.25283,0.34166
ETTh2,43,48,0.18329,0.28449,0.292,0.36944
ETTh2,43,96,0.2335,0.33235,0.33849,0.40023
ETTh2,43,192,0.26706,0.36109,0.39837,0.43406
ETTh2,43,336,0.31095,0.4005,0.44138,0.45478
ETTh2,43,720,0.38589,0.44934,0.52433,0.49425
ETTh2,44,24,0.15351,0.25934,0.25283,0.34166
ETTh2,44,48,0.18719,0.29041,0.292,0.36944
ETTh2,44,96,0.22888,0.32899,0.33849,0.40023
ETTh2,44,192,0.26617,0.36008,0.39837,0.43406
ETTh2,44,336,0.30268,0.39282,0.44138,0.45478
ETTh2,44,720,0.40349,0.46031,0.52433,0.49425
ETTm1,42,24,0.26917,0.33129,0.81945,0.53916
ETTm1,42,48,0.33135,0.36956,1.47965,0.75916
ETTm1,42,96,0.36361,0.38691,1.51844,0.78211
ETTm1,42,192,0.43062,0.42115,1.57401,0.80971
ETTm1,42,336,0.49791,0.45695,1.63376,0.83638
ETTm1,42,720,0.56069,0.50214,1.70375,0.87158
ETTm1,43,24,0.26749,0.32921,0.81945,0.53916
ETTm1,43,48,0.33013,0.3702,1.47965,0.75916
ETTm1,43,96,0.36928,0.3928,1.51844,0.78211
ETTm1,43,192,0.43261,0.42292,1.57401,0.80971
ETTm1,43,336,0.49785,0.457,1.63376,0.83638
ETTm1,43,720,0.56312,0.50424,1.70375,0.87158
ETTm1,44,24,0.27097,0.33235,0.81945,0.53916
ETTm1,44,48,0.32987,0.36903,1.47965,0.75916
ETTm1,44,96,0.36398,0.38819,1.51844,0.78211
ETTm1,44,192,0.43227,0.42251,1.57401,0.80971
ETTm1,44,336,0.49842,0.4579,1.63376,0.83638
ETTm1,44,720,0.56128,0.50322,1.70375,0.87158
