dataset,seed,eval_horizon,mse_learned,mae_learned,mse_uniform,mae_uniform,pct_change_mse,learned_better
ETTh1,42,24,0.82704,0.62761,0.88176,0.64791,6.62,True
ETTh1,42,48,0.84399,0.63965,0.89821,0.6582,6.42,True
ETTh1,42,96,0.8662,0.65725,0.92374,0.67408,6.64,True
ETTh1,42,192,0.90938,0.67879,0.96488,0.69511,6.1,True
ETTh1,42,336,0.93643,0.6935,0.99926,0.7114,6.71,True
ETTh1,42,720,1.07413,0.76008,1.12738,0.775,4.96,True
ETTh1,43,24,0.82129,0.62638,0.88457,0.64496,7.7,True
ETTh1,43,48,0.84072,0.63891,0.90083,0.6552,7.15,True
ETTh1,43,96,0.86565,0.6553,0.92629,0.67105,7.01,True
ETTh1,43,192,0.90869,0.67708,0.96739,0.69201,6.46,True
ETTh1,43,336,0.93321,0.69048,1.00183,0.70822,7.35,True
ETTh1,43,720,1.07194,0.75755,1.12898,0.77115,5.32,True
ETTh1,44,24,0.82894,0.62079,0.88764,0.64664,7.08,True
ETTh1,44,48,0.85293,0.6344,0.90392,0.65686,5.98,True
ETTh1,44,96,0.8875,0.65552,0.92946,0.6727,4.73,True
ETTh1,44,192,0.93385,0.67804,0.97037,0.69363,3.91,True
ETTh1,44,336,0.95959,0.69269,1.00495,0.71007,4.73,True
ETTh1,44,720,1.10388,0.76173,1.13188,0.77288,2.54,True
exchange,42,24,0.1056,0.23458,0.09613,0.22934,-8.97,False
exchange,42,48,0.12917,0.26233,0.12,0.25675,-7.1,False
exchange,42,96,0.18266,0.31411,0.17067,0.30625,-6.57,False
exchange,42,192,0.29397,0.4034,0.28227,0.39742,-3.98,False
exchange,42,336,0.48144,0.52083,0.46855,0.5129,-2.68,False
exchange,42,720,1.21661,0.85178,1.19521,0.84652,-1.76,False
exchange,43,24,0.10578,0.23726,0.10237,0.2338,-3.22,False
exchange,43,48,0.13018,0.26434,0.12645,0.26109,-2.87,False
exchange,43,96,0.18141,0.31316,0.17777,0.31055,-2.01,False
exchange,43,192,0.2954,0.4054,0.29223,0.40366,-1.07,False
exchange,43,336,0.48856,0.52345,0.48552,0.52224,-0.62,False
exchange,43,720,1.23952,0.86147,1.232,0.85959,-0.61,False
exchange,44,24,0.10432,0.2364,0.10508,0.23698,0.73,True
exchange,44,48,0.12915,0.26392,0.12952,0.26435,0.29,True
exchange,44,96,0.1809,0.31247,0.18114,0.31316,0.14,True
exchange,44,192,0.29648,0.40518,0.29625,0.40568,-0.08,False
exchange,44,336,0.49312,0.52622,0.49134,0.52558,-0.36,False
exchange,44,720,1.2459,0.86387,1.24178,0.86307,-0.33,False
