dataset,temperature_mode,eval_horizon,mse_mean,mse_std,mae_mean,mae_std,tau_mean,relative_improvement_pct,H_norm_mean,N_eff_mean
ETTh1,fixed,24,0.8302200000000001,0.003735090360352747,0.6212933333333334,0.0058688442928172225,1.0,0.0,0.9699433333333333,86.84616666666666
ETTh1,fixed,48,0.8510166666666666,0.000740967835559228,0.6342466666666667,0.005575879601760856,1.0,0.0,0.9712333333333333,87.13956666666667
ETTh1,fixed,96,0.8778733333333334,0.003578901134892322,0.65258,0.004669518176428846,1.0,0.0,0.97166,87.1855
ETTh1,fixed,192,0.9247033333333333,0.006475278629783712,0.6756833333333333,0.0038816534277719044,1.0,0.0,0.9717833333333333,87.17439999999999
ETTh1,fixed,336,0.95266,0.00774495965128295,0.6907800000000001,0.0033507461855533274,1.0,0.0,0.9720366666666665,87.20656666666666
ETTh1,fixed,720,1.0943866666666666,0.010276460155780036,0.7595200000000001,0.002172487054046589,1.0,0.0,0.9719233333333334,87.16833333333334
ETTh1,learned_global,24,0.8313799999999999,0.0059250063291105305,0.6249866666666667,0.002587476247878123,0.7285333333333334,-0.14,0.9581466666666666,83.64036666666667
ETTh1,learned_global,48,0.8505033333333333,0.005651055948522641,0.6373433333333334,0.002961508624558332,0.7285333333333334,0.06,0.9597333333333333,83.98233333333333
ETTh1,learned_global,96,0.8768266666666666,0.00579339566518061,0.6553966666666667,0.0025706484266296075,0.7285333333333334,0.12,0.9602666666666666,84.02746666666667
ETTh1,learned_global,192,0.9226033333333333,0.004963560549981582,0.6782866666666667,0.0024150017253271976,0.7285333333333334,0.23,0.96057,84.05016666666667
ETTh1,learned_global,336,0.9522166666666667,0.007568238456426584,0.6937066666666666,0.001966172254237431,0.7285333333333334,0.05,0.9608833333333333,84.08566666666667
ETTh1,learned_global,720,1.09163,0.007100753481145521,0.7611066666666666,0.0013639770281545542,0.7285333333333334,0.25,0.9607600000000001,84.03953333333334
ETTh1,query_conditioned,24,0.84435,0.009575922932020756,0.6255000000000001,0.0035047539143283554,0.26063333333333333,-1.7,0.8831133333333333,65.06453333333333
ETTh1,query_conditioned,48,0.8653066666666667,0.006838715766379919,0.6382833333333333,0.003308509231260158,0.2604,-1.68,0.8850133333333333,65.41106666666667
ETTh1,query_conditioned,96,0.89426,0.0026733686614456784,0.6575466666666667,0.0025858525351097465,0.26026666666666665,-1.87,0.8846766666666667,65.2327
ETTh1,query_conditioned,192,0.9404366666666667,0.0031597837478746942,0.6801833333333334,0.0022264396091817486,0.26063333333333333,-1.7,0.8872033333333333,65.60106666666667
ETTh1,query_conditioned,336,0.9707466666666665,0.005776697441733759,0.69595,0.0017947701802738145,0.2611,-1.9,0.8874466666666666,65.59846666666667
ETTh1,query_conditioned,720,1.1116833333333334,0.003395943658739488,0.76526,0.003126915412990899,0.26206666666666667,-1.58,0.8874733333333333,65.6014
ETTh1,temporal_context,24,0.8513700000000001,0.004225292889256265,0.6282666666666666,0.007182550614742204,0.2091666666666667,-2.55,0.8602433333333334,60.23759999999999
ETTh1,temporal_context,48,0.8701699999999999,0.005366153184544806,0.6405033333333333,0.007490756526101519,0.2094,-2.25,0.8623233333333333,60.53876666666667
ETTh1,temporal_context,96,0.8959566666666667,0.006945000599952009,0.6590066666666666,0.0072165388749270264,0.21009999999999998,-2.06,0.8638666666666667,60.65636666666666
ETTh1,temporal_context,192,0.9403533333333334,0.006823176190992927,0.6807166666666666,0.006131169002183323,0.21130000000000002,-1.69,0.8680233333333334,61.31856666666666
ETTh1,temporal_context,336,0.9683800000000001,0.010895260437456311,0.6957999999999999,0.005122196794345195,0.21309999999999998,-1.65,0.8688699999999999,61.47993333333333
ETTh1,temporal_context,720,1.1100833333333333,0.009531507400895933,0.7650833333333334,0.00525948983584277,0.21473333333333333,-1.43,0.8687766666666666,61.4769
ETTh2,fixed,24,0.22679333333333332,0.0007561305002004218,0.33046333333333333,0.0018680827961665286,1.0,0.0,0.9810866666666667,89.6055
ETTh2,fixed,48,0.24747,0.0015954936540143376,0.34442,0.002072462303637877,1.0,0.0,0.9818966666666666,89.82426666666667
ETTh2,fixed,96,0.27840333333333334,0.002685411203769972,0.36328000000000005,0.002245951913999926,1.0,0.0,0.9825933333333333,89.99073333333332
ETTh2,fixed,192,0.31048333333333333,0.004289479377888791,0.38328333333333336,0.002612553029764788,1.0,0.0,0.98246,89.9305
ETTh2,fixed,336,0.34224666666666664,0.0065169727123361,0.39982999999999996,0.003502527658705939,1.0,0.0,0.9827400000000001,89.99363333333334
ETTh2,fixed,720,0.41037999999999997,0.009151923295133094,0.43754333333333334,0.004799920138224544,1.0,0.0,0.9828133333333332,89.99846666666667
ETTh2,learned_global,24,0.22700333333333333,0.0007366365001364788,0.3305366666666667,0.0018207782218967196,0.9562333333333334,-0.09,0.9797633333333332,89.20266666666667
ETTh2,learned_global,48,0.24770666666666666,0.0015678116383460422,0.34452666666666665,0.002033846929671296,0.9562333333333334,-0.1,0.9806166666666667,89.42966666666666
ETTh2,learned_global,96,0.2786633333333333,0.0026623736276738873,0.36340666666666666,0.0022099170421835453,0.9562333333333334,-0.09,0.9813433333333333,89.60173333333334
ETTh2,learned_global,192,0.31072,0.004250317635189178,0.38338,0.0025749563103090035,0.9562333333333334,-0.08,0.9812233333333333,89.54363333333333
