dataset,seed,model_name,temperature_mode,eval_horizon,H_norm,N_eff,max_attention,mean_tau,std_tau,min_tau,max_tau
ETTh1,42,TCD2Vformer_fixed,fixed,24,0.97287,87.6007,0.0245,1.0,0.0,1.0,1.0
ETTh1,42,TCD2Vformer_fixed,fixed,48,0.9744,87.9697,0.02387,1.0,0.0,1.0,1.0
ETTh1,42,TCD2Vformer_fixed,fixed,96,0.97495,88.0463,0.0237,1.0,0.0,1.0,1.0
ETTh1,42,TCD2Vformer_fixed,fixed,192,0.97494,88.0126,0.02343,1.0,0.0,1.0,1.0
ETTh1,42,TCD2Vformer_fixed,fixed,336,0.97512,88.0341,0.02334,1.0,0.0,1.0,1.0
ETTh1,42,TCD2Vformer_fixed,fixed,720,0.97532,88.0761,0.02328,1.0,0.0,1.0,1.0
ETTh1,43,TCD2Vformer_fixed,fixed,24,0.97723,88.5937,0.0223,1.0,0.0,1.0,1.0
ETTh1,43,TCD2Vformer_fixed,fixed,48,0.97811,88.799,0.02202,1.0,0.0,1.0,1.0
ETTh1,43,TCD2Vformer_fixed,fixed,96,0.97865,88.8906,0.02184,1.0,0.0,1.0,1.0
ETTh1,43,TCD2Vformer_fixed,fixed,192,0.97866,88.8611,0.02154,1.0,0.0,1.0,1.0
ETTh1,43,TCD2Vformer_fixed,fixed,336,0.97902,88.9296,0.02138,1.0,0.0,1.0,1.0
ETTh1,43,TCD2Vformer_fixed,fixed,720,0.97878,88.8558,0.02151,1.0,0.0,1.0,1.0
ETTh1,44,TCD2Vformer_fixed,fixed,24,0.95973,84.3441,0.03062,1.0,0.0,1.0,1.0
ETTh1,44,TCD2Vformer_fixed,fixed,48,0.96119,84.65,0.03007,1.0,0.0,1.0,1.0
ETTh1,44,TCD2Vformer_fixed,fixed,96,0.96138,84.6196,0.03008,1.0,0.0,1.0,1.0
ETTh1,44,TCD2Vformer_fixed,fixed,192,0.96175,84.6495,0.02956,1.0,0.0,1.0,1.0
ETTh1,44,TCD2Vformer_fixed,fixed,336,0.96197,84.656,0.02943,1.0,0.0,1.0,1.0
ETTh1,44,TCD2Vformer_fixed,fixed,720,0.96167,84.5731,0.02958,1.0,0.0,1.0,1.0
ETTh1,42,TCD2Vformer_learned_global,learned_global,24,0.95999,84.0153,0.02999,0.6929,0.0,0.6929,0.6929
ETTh1,42,TCD2Vformer_learned_global,learned_global,48,0.96197,84.4627,0.0292,0.6929,0.0,0.6929,0.6929
ETTh1,42,TCD2Vformer_learned_global,learned_global,96,0.96262,84.5245,0.02899,0.6929,0.0,0.6929,0.6929
ETTh1,42,TCD2Vformer_learned_global,learned_global,192,0.96277,84.5206,0.02857,0.6929,0.0,0.6929,0.6929
ETTh1,42,TCD2Vformer_learned_global,learned_global,336,0.96298,84.5362,0.02847,0.6929,0.0,0.6929,0.6929
ETTh1,42,TCD2Vformer_learned_global,learned_global,720,0.96316,84.5601,0.02841,0.6929,0.0,0.6929,0.6929
ETTh1,43,TCD2Vformer_learned_global,learned_global,24,0.96939,86.2684,0.02554,0.7678,0.0,0.7678,0.7678
ETTh1,43,TCD2Vformer_learned_global,learned_global,48,0.97045,86.505,0.02521,0.7678,0.0,0.7678,0.7678
ETTh1,43,TCD2Vformer_learned_global,learned_global,96,0.97115,86.6135,0.02497,0.7678,0.0,0.7678,0.7678
ETTh1,43,TCD2Vformer_learned_global,learned_global,192,0.97124,86.601,0.02457,0.7678,0.0,0.7678,0.7678
ETTh1,43,TCD2Vformer_learned_global,learned_global,336,0.97167,86.6764,0.02437,0.7678,0.0,0.7678,0.7678
ETTh1,43,TCD2Vformer_learned_global,learned_global,720,0.97141,86.5962,0.02451,0.7678,0.0,0.7678,0.7678
ETTh1,44,TCD2Vformer_learned_global,learned_global,24,0.94506,80.6374,0.03701,0.7249,0.0,0.7249,0.7249
ETTh1,44,TCD2Vformer_learned_global,learned_global,48,0.94678,80.9793,0.03637,0.7249,0.0,0.7249,0.7249
ETTh1,44,TCD2Vformer_learned_global,learned_global,96,0.94703,80.9444,0.03637,0.7249,0.0,0.7249,0.7249
ETTh1,44,TCD2Vformer_learned_global,learned_global,192,0.9477,81.0289,0.03566,0.7249,0.0,0.7249,0.7249
ETTh1,44,TCD2Vformer_learned_global,learned_global,336,0.948,81.0444,0.03549,0.7249,0.0,0.7249,0.7249
ETTh1,44,TCD2Vformer_learned_global,learned_global,720,0.94771,80.9623,0.03564,0.7249,0.0,0.7249,0.7249
ETTh1,42,TCD2Vformer_temporal_context,temporal_context,24,0.85668,58.83,0.06937,0.1816,0.027,0.1337,0.327
ETTh1,42,TCD2Vformer_temporal_context,temporal_context,48,0.85967,59.2602,0.06801,0.1818,0.027,0.1337,0.327
ETTh1,42,TCD2Vformer_temporal_context,temporal_context,96,0.86143,59.376,0.06703,0.1824,0.0267,0.1397,0.327
ETTh1,42,TCD2Vformer_temporal_context,temporal_context,192,0.86538,60.0253,0.06478,0.1835,0.0264,0.1402,0.327
