model_name,temperature_mode,horizon,param_count,horizon_dependent_params,is_horizon_independent
PureD2Vformer (Fixed tau=1.0),fixed,24,44021,0,True
PureD2Vformer (Fixed tau=1.0),fixed,48,44021,0,True
PureD2Vformer (Fixed tau=1.0),fixed,96,44021,0,True
PureD2Vformer (Fixed tau=1.0),fixed,192,44021,0,True
PureD2Vformer (Fixed tau=1.0),fixed,336,44021,0,True
PureD2Vformer (Fixed tau=1.0),fixed,720,44021,0,True
TCD2Vformer (Fixed tau*),fixed,24,44021,0,True
TCD2Vformer (Fixed tau*),fixed,48,44021,0,True
TCD2Vformer (Fixed tau*),fixed,96,44021,0,True
TCD2Vformer (Fixed tau*),fixed,192,44021,0,True
TCD2Vformer (Fixed tau*),fixed,336,44021,0,True
TCD2Vformer (Fixed tau*),fixed,720,44021,0,True
TCD2Vformer (Learned Global),learned_global,24,44022,0,True
TCD2Vformer (Learned Global),learned_global,48,44022,0,True
TCD2Vformer (Learned Global),learned_global,96,44022,0,True
TCD2Vformer (Learned Global),learned_global,192,44022,0,True
TCD2Vformer (Learned Global),learned_global,336,44022,0,True
TCD2Vformer (Learned Global),learned_global,720,44022,0,True
TCD2Vformer (Temporal Context),temporal_context,24,44326,0,True
TCD2Vformer (Temporal Context),temporal_context,48,44326,0,True
TCD2Vformer (Temporal Context),temporal_context,96,44326,0,True
TCD2Vformer (Temporal Context),temporal_context,192,44326,0,True
TCD2Vformer (Temporal Context),temporal_context,336,44326,0,True
TCD2Vformer (Temporal Context),temporal_context,720,44326,0,True
TCD2Vformer (Query Conditioned),query_conditioned,24,44326,0,True
TCD2Vformer (Query Conditioned),query_conditioned,48,44326,0,True
TCD2Vformer (Query Conditioned),query_conditioned,96,44326,0,True
TCD2Vformer (Query Conditioned),query_conditioned,192,44326,0,True
TCD2Vformer (Query Conditioned),query_conditioned,336,44326,0,True
TCD2Vformer (Query Conditioned),query_conditioned,720,44326,0,True
