dataset,eval_horizon,Persistence_MSE,DLinear_MSE,Repo_D2Vformer_MSE,PureD2Vformer_tau1_MSE,PureD2Vformer_ValSel_MSE,Rel_Imp_over_tau1(%)
ETTh1,24,1.5244,0.347,1.025,0.8258,0.8227,0.38
ETTh1,48,1.5788,0.3956,0.9584,0.8459,0.8438,0.25
ETTh1,96,1.6498,0.4489,0.9878,0.8731,0.8713,0.21
ETTh1,192,1.7188,0.5007,1.1023,0.9173,0.9103,0.76
ETTh1,336,1.7559,0.5407,1.1871,0.9431,0.9346,0.9
ETTh1,720,1.9035,0.6576,1.1934,1.0833,1.069,1.32
exchange,24,0.0318,0.0326,0.0752,0.1052,0.1046,0.57
exchange,48,0.0548,0.0553,0.0901,0.1295,0.129,0.39
exchange,96,0.101,0.1027,0.1747,0.1817,0.1805,0.66
exchange,192,0.2013,0.218,0.2592,0.2953,0.2923,1.02
exchange,336,0.3763,0.4397,0.4804,0.4877,0.481,1.37
exchange,720,1.0476,1.5701,1.2075,1.234,1.2175,1.34
ETTh2,24,0.2528,0.1543,,0.2274,0.2251,1.01
ETTh2,48,0.292,0.1849,,0.248,0.2455,1.04
ETTh2,96,0.3385,0.2271,,0.2795,0.2764,1.11
ETTh2,192,0.3984,0.2662,,0.3113,0.3081,1.03
ETTh2,336,0.4414,0.306,,0.3422,0.3391,0.91
ETTh2,720,0.5243,0.4028,,0.4101,0.4071,0.71
ETTm1,24,0.8195,0.2692,,0.678,0.6523,3.79
ETTm1,48,1.4797,0.3304,,0.7255,0.7104,2.08
ETTm1,96,1.5184,0.3656,,0.8962,0.8972,-0.12
ETTm1,192,1.574,0.4318,,0.9413,0.9444,-0.33
ETTm1,336,1.6338,0.4981,,0.9755,0.9795,-0.42
ETTm1,720,1.7038,0.5617,,1.0415,1.0506,-0.88
