dataset,variant,eval_horizon,H_norm,N_eff_ratio,KL_from_uniform,max_attention,TV_approx
ETTh1,learnable,24,0.94855,0.84563,0.23484,0.03498,0.02456
ETTh1,learnable,48,0.95011,0.84903,0.22773,0.03444,0.02402
ETTh1,learnable,96,0.95092,0.85027,0.22402,0.03427,0.02385
ETTh1,learnable,192,0.95135,0.8505,0.22207,0.03364,0.02323
ETTh1,learnable,336,0.95153,0.8504,0.22122,0.03355,0.02314
ETTh1,learnable,720,0.95111,0.84933,0.22314,0.03377,0.02335
ETTh1,tau0.5,24,0.93432,0.8101,0.2998,0.0413,0.03088
ETTh1,tau0.5,48,0.93601,0.8136,0.29206,0.04072,0.03031
ETTh1,tau0.5,96,0.93691,0.8148,0.28795,0.04056,0.03014
ETTh1,tau0.5,192,0.93758,0.8154,0.28492,0.03977,0.02936
ETTh1,tau0.5,336,0.93775,0.81517,0.28413,0.03968,0.02926
ETTh1,tau0.5,720,0.93722,0.8138,0.28653,0.03996,0.02954
ETTh1,tau1.0,24,0.96896,0.90273,0.14168,0.02631,0.0159
ETTh1,tau1.0,48,0.97014,0.90553,0.13628,0.02589,0.01547
ETTh1,tau1.0,96,0.97084,0.90687,0.1331,0.02569,0.01528
ETTh1,tau1.0,192,0.97099,0.90667,0.13243,0.02531,0.01489
ETTh1,tau1.0,336,0.97118,0.90677,0.13156,0.02521,0.01479
ETTh1,tau1.0,720,0.97093,0.90607,0.1327,0.02535,0.01493
ETTh1,tau2.0,24,0.98556,0.9513,0.06589,0.01876,0.00835
ETTh1,tau2.0,48,0.98629,0.95323,0.06258,0.01848,0.00807
ETTh1,tau2.0,96,0.98676,0.9543,0.06042,0.01831,0.0079
ETTh1,tau2.0,192,0.98671,0.95383,0.06068,0.01815,0.00773
ETTh1,tau2.0,336,0.98686,0.95417,0.05996,0.01806,0.00764
ETTh1,tau2.0,720,0.98678,0.95387,0.06034,0.01811,0.0077
ETTh1,tau4.0,24,0.99064,0.96767,0.04274,0.01624,0.00583
ETTh1,tau4.0,48,0.99114,0.96903,0.04042,0.01604,0.00562
ETTh1,tau4.0,96,0.99144,0.96967,0.03909,0.01593,0.00551
ETTh1,tau4.0,192,0.99142,0.96947,0.03916,0.01581,0.00539
ETTh1,tau4.0,336,0.99153,0.96963,0.03868,0.01574,0.00533
ETTh1,tau4.0,720,0.99142,0.9693,0.03915,0.01581,0.00539
exchange,learnable,24,0.87101,0.7566,0.58877,0.10278,0.09237
exchange,learnable,48,0.87117,0.75687,0.58802,0.10279,0.09238
exchange,learnable,96,0.87147,0.7576,0.58667,0.10265,0.09224
exchange,learnable,192,0.87198,0.75793,0.58434,0.10125,0.09084
exchange,learnable,336,0.87538,0.76407,0.56879,0.10007,0.08965
exchange,learnable,720,0.87574,0.76433,0.56718,0.10001,0.08959
exchange,tau0.5,24,0.83033,0.66777,0.77442,0.1281,0.11769
exchange,tau0.5,48,0.83042,0.66777,0.77401,0.12821,0.1178
exchange,tau0.5,96,0.83069,0.6679,0.77281,0.12801,0.11759
exchange,tau0.5,192,0.83176,0.6686,0.76791,0.12617,0.11576
exchange,tau0.5,336,0.83627,0.67667,0.74731,0.12488,0.11446
exchange,tau0.5,720,0.83728,0.6777,0.7427,0.12425,0.11383
exchange,tau1.0,24,0.922,0.8193,0.356,0.06193,0.05151
exchange,tau1.0,48,0.9223,0.8197,0.35465,0.06177,0.05135
exchange,tau1.0,96,0.92265,0.82037,0.35304,0.06161,0.05119
exchange,tau1.0,192,0.92323,0.82063,0.35039,0.06056,0.05014
exchange,tau1.0,336,0.927,0.82757,0.33318,0.05852,0.0481
exchange,tau1.0,720,0.92658,0.8274,0.3351,0.05886,0.04844
exchange,tau2.0,24,0.9812,0.93733,0.08581,0.02274,0.01232
exchange,tau2.0,48,0.98143,0.9378,0.08478,0.02263,0.01222
exchange,tau2.0,96,0.98177,0.9384,0.08322,0.02242,0.012
exchange,tau2.0,192,0.98234,0.9396,0.08061,0.02199,0.01157
exchange,tau2.0,336,0.98379,0.94387,0.07399,0.02129,0.01087
exchange,tau2.0,720,0.98356,0.94343,0.07502,0.02146,0.01105
exchange,tau4.0,24,0.99346,0.97527,0.02984,0.01556,0.00514
exchange,tau4.0,48,0.99359,0.97567,0.02927,0.01551,0.0051
exchange,tau4.0,96,0.99376,0.9761,0.0285,0.01542,0.00501
exchange,tau4.0,192,0.99395,0.97663,0.0276,0.01528,0.00486
exchange,tau4.0,336,0.99452,0.9786,0.02501,0.01498,0.00456
exchange,tau4.0,720,0.9944,0.97827,0.02555,0.01506,0.00464
