dataset,eval_horizon,tau1_mean,tau4_mean,mean_diff,std_diff,rel_improvement_pct,t_stat,p_value,significant_p05,tau4_better_all_seeds
ETTh1,24,0.8258,0.8246,-0.00114,0.0125,0.138,0.157,0.8893,False,False
ETTh1,48,0.8459,0.8454,-0.00047,0.01204,0.056,0.068,0.9523,False,False
ETTh1,96,0.8731,0.8728,-0.0003,0.01288,0.034,0.04,0.9718,False,False
ETTh1,192,0.9173,0.9109,-0.00645,0.01347,0.703,0.829,0.4943,False,False
ETTh1,336,0.9431,0.9351,-0.008,0.01007,0.849,1.377,0.3025,False,True
ETTh1,720,1.0833,1.0689,-0.01438,0.01155,1.327,2.157,0.1637,False,True
exchange,24,0.1052,0.1028,-0.00242,0.00181,2.3,2.317,0.1464,False,True
exchange,48,0.1295,0.1271,-0.00237,0.00255,1.83,1.61,0.2488,False,False
exchange,96,0.1817,0.1785,-0.0032,0.00195,1.763,2.85,0.1042,False,True
exchange,192,0.2953,0.2931,-0.00215,0.00452,0.728,0.824,0.4968,False,False
exchange,336,0.4877,0.487,-0.00073,0.01035,0.15,0.122,0.914,False,False
exchange,720,1.234,1.2331,-0.0009,0.02399,0.073,0.065,0.9541,False,False
