dataset,variant,temperature_mode,initial_tau,final_tau,seed,eval_horizon,mse,mae,H_norm,N_eff,N_eff_ratio,max_attention,checksum_verified
ETTh1,tau0.5,fixed,0.5,0.5,42,24,0.83708,0.63159,0.94219,79.44,0.8275,0.0375,True
ETTh1,tau0.5,fixed,0.5,0.5,42,48,0.85556,0.64413,0.94412,79.83,0.8316,0.03677,True
ETTh1,tau0.5,fixed,0.5,0.5,42,96,0.88095,0.66297,0.94536,80.0,0.8334,0.03637,True
ETTh1,tau0.5,fixed,0.5,0.5,42,192,0.92278,0.68375,0.94594,80.05,0.8339,0.03564,True
ETTh1,tau0.5,fixed,0.5,0.5,42,336,0.94961,0.69862,0.94597,80.01,0.8334,0.03563,True
ETTh1,tau0.5,fixed,0.5,0.5,42,720,1.09011,0.76608,0.94596,79.98,0.8331,0.03565,True
ETTh1,tau0.5,fixed,0.5,0.5,43,24,0.82242,0.62915,0.94614,80.01,0.8335,0.03484,True
ETTh1,tau0.5,fixed,0.5,0.5,43,48,0.84317,0.64208,0.94752,80.3,0.8364,0.03447,True
ETTh1,tau0.5,fixed,0.5,0.5,43,96,0.87176,0.65959,0.94859,80.45,0.838,0.0342,True
ETTh1,tau0.5,fixed,0.5,0.5,43,192,0.91709,0.68167,0.94902,80.47,0.8383,0.03351,True
ETTh1,tau0.5,fixed,0.5,0.5,43,336,0.94224,0.69532,0.94951,80.52,0.8388,0.03326,True
ETTh1,tau0.5,fixed,0.5,0.5,43,720,1.08272,0.76305,0.94853,80.28,0.8363,0.03375,True
ETTh1,tau0.5,fixed,0.5,0.5,44,24,0.83295,0.62668,0.91462,73.86,0.7693,0.05156,True
ETTh1,tau0.5,fixed,0.5,0.5,44,48,0.85537,0.63986,0.9164,74.19,0.7728,0.05093,True
ETTh1,tau0.5,fixed,0.5,0.5,44,96,0.88835,0.66116,0.91679,74.21,0.773,0.0511,True
ETTh1,tau0.5,fixed,0.5,0.5,44,192,0.93429,0.68416,0.91777,74.31,0.774,0.05017,True
ETTh1,tau0.5,fixed,0.5,0.5,44,336,0.9608,0.69866,0.91777,74.24,0.7733,0.05015,True
ETTh1,tau0.5,fixed,0.5,0.5,44,720,1.10049,0.76511,0.91718,74.12,0.772,0.05047,True
ETTh1,tau1.0,fixed,1.0,1.0,42,24,0.82704,0.62761,0.971,87.26,0.9089,0.02549,True
ETTh1,tau1.0,fixed,1.0,1.0,42,48,0.84399,0.63965,0.97234,87.57,0.9122,0.02495,True
ETTh1,tau1.0,fixed,1.0,1.0,42,96,0.8662,0.65725,0.97325,87.74,0.914,0.02463,True
ETTh1,tau1.0,fixed,1.0,1.0,42,192,0.90938,0.67879,0.97337,87.72,0.9138,0.02429,True
ETTh1,tau1.0,fixed,1.0,1.0,42,336,0.93643,0.6935,0.97344,87.71,0.9136,0.02425,True
ETTh1,tau1.0,fixed,1.0,1.0,42,720,1.07413,0.76008,0.97357,87.73,0.9139,0.02422,True
ETTh1,tau1.0,fixed,1.0,1.0,43,24,0.82129,0.62638,0.9764,88.39,0.9207,0.02265,True
ETTh1,tau1.0,fixed,1.0,1.0,43,48,0.84072,0.63891,0.97731,88.6,0.923,0.02237,True
ETTh1,tau1.0,fixed,1.0,1.0,43,96,0.86565,0.6553,0.97803,88.75,0.9245,0.02215,True
ETTh1,tau1.0,fixed,1.0,1.0,43,192,0.90869,0.67708,0.97805,88.71,0.9241,0.02184,True
ETTh1,tau1.0,fixed,1.0,1.0,43,336,0.93321,0.69048,0.97841,88.78,0.9248,0.02167,True
ETTh1,tau1.0,fixed,1.0,1.0,43,720,1.07194,0.75755,0.978,88.66,0.9236,0.02188,True
ETTh1,tau1.0,fixed,1.0,1.0,44,24,0.82894,0.62079,0.95948,84.35,0.8786,0.0308,True
ETTh1,tau1.0,fixed,1.0,1.0,44,48,0.85293,0.6344,0.96078,84.62,0.8814,0.03034,True
ETTh1,tau1.0,fixed,1.0,1.0,44,96,0.8875,0.65552,0.96124,84.68,0.8821,0.0303,True
ETTh1,tau1.0,fixed,1.0,1.0,44,192,0.93385,0.67804,0.96154,84.68,0.8821,0.0298,True
ETTh1,tau1.0,fixed,1.0,1.0,44,336,0.95959,0.69269,0.96168,84.67,0.8819,0.02971,True
ETTh1,tau1.0,fixed,1.0,1.0,44,720,1.10388,0.76173,0.96121,84.55,0.8807,0.02994,True
ETTh1,tau2.0,fixed,2.0,2.0,42,24,0.83498,0.62806,0.9871,91.78,0.956,0.01802,True
ETTh1,tau2.0,fixed,2.0,2.0,42,48,0.85309,0.64048,0.98787,91.98,0.9582,0.01771,True
ETTh1,tau2.0,fixed,2.0,2.0,42,96,0.87677,0.65832,0.98844,92.12,0.9595,0.01749,True
ETTh1,tau2.0,fixed,2.0,2.0,42,192,0.92027,0.67994,0.98829,92.06,0.9589,0.01739,True
ETTh1,tau2.0,fixed,2.0,2.0,42,336,0.94624,0.69458,0.98839,92.08,0.9591,0.01733,True
ETTh1,tau2.0,fixed,2.0,2.0,42,720,1.08402,0.76213,0.98856,92.13,0.9596,0.01728,True
ETTh1,tau2.0,fixed,2.0,2.0,43,24,0.82413,0.63378,0.98925,92.33,0.9617,0.017,True
ETTh1,tau2.0,fixed,2.0,2.0,43,48,0.84387,0.64595,0.98978,92.46,0.9632,0.01681,True
ETTh1,tau2.0,fixed,2.0,2.0,43,96,0.86867,0.6626,0.99022,92.57,0.9643,0.01665,True
ETTh1,tau2.0,fixed,2.0,2.0,43,192,0.90842,0.68401,0.99015,92.53,0.9638,0.01651,True
ETTh1,tau2.0,fixed,2.0,2.0,43,336,0.92968,0.69649,0.99036,92.58,0.9644,0.0164,True
ETTh1,tau2.0,fixed,2.0,2.0,43,720,1.06333,0.76199,0.99019,92.53,0.9638,0.0165,True
ETTh1,tau2.0,fixed,2.0,2.0,44,24,0.82066,0.61806,0.98034,89.88,0.9362,0.02127,True
ETTh1,tau2.0,fixed,2.0,2.0,44,48,0.8444,0.63186,0.98122,90.08,0.9383,0.02093,True
ETTh1,tau2.0,fixed,2.0,2.0,44,96,0.87642,0.65255,0.98163,90.15,0.9391,0.0208,True
